StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q28,Q26,Q3,Q4,Q5,Q5_2_TEXT,Q6,Q7,Q8,Q8_9_TEXT,Q9,Q11,Q12,Q25,Q16,Q13,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q14,Q17,Q18,Q18_3_TEXT,Q19,Q19_3_TEXT,Q20,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_7_TEXT,Q23,PROLIFIC_PID
2022-06-23 18:04:28,2022-06-23 18:07:48,IP Address,102.249.2.187,100,199,True,2022-06-23 18:07:48,R_2R37Bgxej5nfWPE,,,,,-29.8556,31.0449,anonymous,EN,Agree,,61686eac91f3797791f3e14c,21,Female,South Africa,,Durban,Durban,Diploma,,No,Yes,No,I am scared of the vaccine,,,Strongly agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Often,No,No,,No,,More people who have not been vaccinated,"News channels, eg. eNCA",,,Facebook or other social media,,,,,,61686eac91f3797791f3e14c
2022-06-23 18:05:31,2022-06-23 18:08:49,IP Address,41.157.3.238,100,198,True,2022-06-23 18:08:50,R_2Y3r8zR1peShuHX,,,,,-33.914,18.4129,anonymous,EN,Agree,,60e8a67d61e5ac8c0e0051e4,28,Female,South Africa,,Cape Town,Cape Town,Bachelor Degree,,No,Yes,Yes,,To protect myself and my loved ones.,I am going to take the vaccine booster,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Extremely often,"It depends on the situation, eg. if you are attending an event with a large number of people",No,,No,,More people who have been vaccinated,"News channels, eg. eNCA",,YouTube,Facebook or other social media,,,,,,60e8a67d61e5ac8c0e0051e4
2022-06-23 18:03:46,2022-06-23 18:09:15,IP Address,41.13.12.142,100,329,True,2022-06-23 18:09:16,R_78QQx1yZmsmEf2F,,,,,-26.3811,27.8376,anonymous,EN,Agree,,61649acf33779deb27ade31f,22,Female,South Africa,,"Johannesburg ",Eastern Cape,Other,"Higher Certificate ",No,I don't remember,No,"I am concerned about the side effects as I am someone who suffers from severe headaches. ",,,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Extremely often,Yes,Other,"It should be ones choice whether to vaccinate or not ",Other,"Students must decide for themselves ",More people who have not been vaccinated,"News channels, eg. eNCA",,,,,,,,,61649acf33779deb27ade31f
2022-06-23 18:10:15,2022-06-23 18:12:20,IP Address,197.185.96.150,100,124,True,2022-06-23 18:12:20,R_2q27zgFaDkpqkIT,,,,,-26.3811,27.8376,anonymous,EN,Agree,,610e58cb7ed5b0c6b64d9fad,35,Male,South Africa,,Johannesburg,Pietermaritzburg,Diploma,,No,Yes,No,Im not sure it is safe,,,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Often,"It depends on the situation, eg. if you are attending an event with a large number of people",No,,No,,More people who have not been vaccinated,,,YouTube,,,,,,,610e58cb7ed5b0c6b64d9fad
2022-06-23 18:08:33,2022-06-23 18:13:40,IP Address,102.249.1.133,100,307,True,2022-06-23 18:13:40,R_1jSLnIxSxNjahKG,,,,,-29.8556,31.0449,anonymous,EN,Agree,,615c16f92eaa4d27d7895dcd,32,Male,South Africa,,Durban,Durban,Matric,,No,Yes,No,The pros did not outweigh the cons. The vaccine was made in a rush and the efficacy of the vaccine wasn't high enough to risk side effects.,,,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Often,No,No,,No,,More people who have not been vaccinated,"News channels, eg. eNCA",,,,,,,,,615c16f92eaa4d27d7895dcd
2022-06-23 18:06:15,2022-06-23 18:17:36,IP Address,41.13.10.62,100,680,True,2022-06-23 18:17:36,R_3ey4rAoR2UaVbfd,,,,,-26.3811,27.8376,anonymous,EN,Agree,,60a91a7fbccaa6f7ea138a1c,27,Female,South Africa,,Johannesburg,Johannesburg,Bachelor Degree,,No,I don't remember,Yes,,I wanted to get vaccinated,I am still deciding,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,I usually forget,"It depends on the situation, eg. if you are attending an event with a large number of people",Yes,,No,,More people who have been vaccinated,"News channels, eg. eNCA",,,,,,,,n/a,60a91a7fbccaa6f7ea138a1c
2022-06-23 18:07:40,2022-06-23 18:18:53,IP Address,197.184.178.241,100,673,True,2022-06-23 18:18:54,R_2y7TfIXoMmuvG8s,,,,,-26.3811,27.8376,anonymous,EN,Agree,,60e247c923cd884aa24f0d1a,23,Female,South Africa,,Johannesburg,Ulundi,Bachelor Degree,,No,I don't remember,Yes,,Work purposes.,I am going to take the vaccine booster,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,I usually forget,No,No,,No,,More people who have not been vaccinated,"News channels, eg. eNCA",,,,,,,,,60e247c923cd884aa24f0d1a
2022-06-23 18:13:06,2022-06-23 18:19:50,IP Address,41.150.243.214,100,403,True,2022-06-23 18:19:50,R_1MYPQ16lB5gCW4S,,,,,-25.6608,27.2526,anonymous,EN,Agree,,615f21be2470332edfa2a301,29,Female,South Africa,,"Malelane ",Malelane,Honours Degree,,No,Yes,Yes,,"I contracted Covid-19 in December 2020, the thought of dying and living my then 1yr old was terrifying, and when I heard about the vaccine and how it can limit hospitalization and have better chances of fighting the virus I knew I had to take it to live longer for my daughters sake",No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Often,"It depends on the situation, eg. if you are attending an event with a large number of people",Other,"No, it should be the employees choice. I feel the company can give the option of remote work for those employees that are not vaccinated or are not ready to be",Yes,,More people who have been vaccinated,"News channels, eg. eNCA",Newspapers,,,Government,Scientific research papers,,,I enjoyed the study. Well done UP,615f21be2470332edfa2a301
2022-06-23 18:18:01,2022-06-23 18:20:56,IP Address,41.246.26.154,100,174,True,2022-06-23 18:20:56,R_RKYGejK8d7aY2qd,,,,,-29.6177,30.3835,anonymous,EN,Agree,,6162d95040a3fa68f76451be,25,Male,South Africa,,Richards Bay,Richards Bay,Diploma,,No,Yes,Yes,,"Because I thought it would be beneficial for my health  ",No,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Often,Yes,Yes,,Yes,,More people who have been vaccinated,"News channels, eg. eNCA",,,,,,,,,6162d95040a3fa68f76451be
2022-06-23 18:14:45,2022-06-23 18:21:11,IP Address,197.234.186.86,100,386,True,2022-06-23 18:21:11,R_Qml3CLa4pghCIjn,,,,,-26.3811,27.8376,anonymous,EN,Agree,,613c7f972e67021c3fe9fd40,30,Male,South Africa,,johannesburg,Johannesburg,Matric,,No,Yes,No,i dont trust the vaccine or how its being forced on us and i generally dont take medication,,,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Strongly disagree,Sometimes,No,No,,No,,More people who have not been vaccinated,,,YouTube,,,,,,none,613c7f972e67021c3fe9fd40
2022-06-23 18:18:16,2022-06-23 18:21:41,IP Address,197.90.130.11,100,204,True,2022-06-23 18:21:41,R_30uS6FqLoHCm8cd,,,,,-26.3811,27.8376,anonymous,EN,Agree,,5f3bbd131b714a900472ac05,32,Male,South Africa,,Johannesburg,Cape Town,Matric,,No,Yes,No,There was no reason for the vaccine to be taken at this point as the vaccines are too early in it's development life cycle to be trusted.,,,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Extremely often,No,No,,No,,More people who have been vaccinated,,,YouTube,,,Scientific research papers,,,None at this point.,5f3bbd131b714a900472ac05
2022-06-23 18:33:42,2022-06-23 18:39:48,IP Address,102.39.184.99,100,366,True,2022-06-23 18:39:48,R_C7Sk3zDRBptCImZ,,,,,-34.0486,18.4811,anonymous,EN,Agree,,6172a9f0b1a540f3b4089c31,18,Male,South Africa,,Cape Town,Cape Town,Bachelor Degree,,No,Yes,No,Health,,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Often,No,No,,No,,More people who have not been vaccinated,,,YouTube,,,,,,,6172a9f0b1a540f3b4089c31
2022-06-23 18:39:06,2022-06-23 18:42:45,IP Address,102.32.117.93,100,218,True,2022-06-23 18:42:45,R_bCb824mjVQ9HuaB,,,,,-26.3811,27.8376,anonymous,EN,Agree,,61122b2c98bd9fd56bfeec45,37,Male,South Africa,,Johannesburg,Johannesburg,Diploma,,No,No,Yes,,It was to protect myself and my loved one's .,I am going to take the vaccine booster,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Extremely often,Yes,Yes,,Yes,,More people who have been vaccinated,"News channels, eg. eNCA",,,,,,,,,61122b2c98bd9fd56bfeec45
2022-06-23 18:39:37,2022-06-23 18:44:59,IP Address,169.1.230.44,100,322,True,2022-06-23 18:44:59,R_r3JTzUN98pddQ7T,,,,,-26.3811,27.8376,anonymous,EN,Agree,,60d4613121b754739be92895,28,Male,South Africa,,Johannesburg,Johannesburg,Diploma,,Yes,Yes,Yes,,I had to take the vaccine due traveling reasons overseas,Yes,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither too much nor too little,"It depends on the situation, eg. if you are attending an event with a large number of people",No,,No,,I am not sure,,,YouTube,Facebook or other social media,,,,,,60d4613121b754739be92895
2022-06-23 18:38:50,2022-06-23 18:46:35,IP Address,102.222.183.108,100,464,True,2022-06-23 18:46:35,R_3lPlttJyEL9bIdi,,,,,-26.3811,27.8376,anonymous,EN,Agree,,6156e9372fa5f9c6cc31eb63,32,Male,South Africa,,Johannesburg,Johannesburg,Matric,,No,Yes,No,"There are no long term studies show the efficacy of the vaccine. And my immune system is not compromised and has fought the virus of with ease. ",,,Somewhat agree,Strongly disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither too much nor too little,No,No,,No,,More people who have been vaccinated,"News channels, eg. eNCA",,YouTube,,Government,Scientific research papers,,,,6156e9372fa5f9c6cc31eb63
2022-06-23 18:42:25,2022-06-23 18:46:35,IP Address,41.114.114.77,100,250,True,2022-06-23 18:46:35,R_1mlzf6hRnBu3qsb,,,,,-25.7599,28.2604,anonymous,EN,Agree,,613074ab9672624413e3ee34,23,Male,South Africa,,Pretoria,Pretoria,Matric,,No,Yes,I prefer not to say,,,,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Extremely often,Yes,Yes,,Yes,,More people who have been vaccinated,"News channels, eg. eNCA",,,Facebook or other social media,Government,Scientific research papers,,,,613074ab9672624413e3ee34
2022-06-23 18:47:09,2022-06-23 18:52:29,IP Address,160.226.233.144,100,320,True,2022-06-23 18:52:29,R_3qJ0UnMg3MTeM2y,,,,,-29.1252,26.163,anonymous,EN,Agree,,615200d54efc832849db2259,25,Male,South Africa,,Bloemfontein,Zastron,Matric,,Yes,Yes,No,I don't prefer vaccinations in general,,,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Often,No,No,,No,,More people who have not been vaccinated,"News channels, eg. eNCA",,YouTube,,,,,,,615200d54efc832849db2259
2022-06-23 19:00:15,2022-06-23 19:12:23,IP Address,41.13.2.161,100,728,True,2022-06-23 19:12:23,R_1Kl0AF8NBLUoz5n,,,,,-26.3811,27.8376,anonymous,EN,Agree,,60fff1bb5655b461b15f8a8c,29,Male,South Africa,,Johannesburg,polokwane,Bachelor Degree,,No,Yes,No,"There's so much negative news around it so I preferred taking a stance that, why fix it if not broken. And also I do not usually take medicine for anything, with so much controversy around Covid vaccines, not to jab was a very easy decision.",,,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Often,No,No,,No,,More people who have not been vaccinated,"News channels, eg. eNCA",Newspapers,YouTube,,,Scientific research papers,,,"As of this moment, South Africa has lifted Covid restrictions, have they reached herd immunity? Is the virus suppressed? What is going on? ",60fff1bb5655b461b15f8a8c
2022-06-23 19:23:14,2022-06-23 19:30:05,IP Address,197.184.171.95,100,411,True,2022-06-23 19:30:07,R_1LG6hj9Oj2LTvOF,,,,,-26.3811,27.8376,anonymous,EN,Agree,,6140ce597b9f121e7170511f,26,Male,South Africa,,Vosloorus,KwaZulu Natal,Bachelor Degree,,Yes,Yes,I prefer not to say,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Often,No,No,,No,,More people who have not been vaccinated,,,,Facebook or other social media,,,,,,6140ce597b9f121e7170511f
2022-06-23 19:53:45,2022-06-23 19:57:28,IP Address,41.147.1.29,100,223,True,2022-06-23 19:57:29,R_eksA9wh921jTWCd,,,,,-33.914,18.4129,anonymous,EN,Agree,,6159f11a6fbe0bc217866c90,34,Male,South Africa,,"Cape Town ","Cape Town ",Honours Degree,,No,Yes,No,"I dont trust the vaccines ",,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Often,No,No,,No,,More people who have been vaccinated,"News channels, eg. eNCA",,,,,Scientific research papers,,,,6159f11a6fbe0bc217866c90
2022-06-23 20:06:03,2022-06-23 20:09:23,IP Address,105.245.98.56,100,199,True,2022-06-23 20:09:23,R_10TPTtOfdHQz0u0,,,,,-25.7599,28.2604,anonymous,EN,Agree,,60f280f58488d95840331513,23,Male,South Africa,,Potchefstroom,Newcastle,Matric,,Yes,Yes,Yes,,To be able to keep my job,I am still deciding,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Extremely often,No,No,,No,,More people who have been vaccinated,,,,,,Scientific research papers,,,Lovely fun study,60f280f58488d95840331513
2022-06-24 08:18:05,2022-06-24 08:18:12,Survey Preview,,100,7,True,2022-06-24 08:18:12,R_111TnyxaAl0dIdv,,,,,-25.7599,28.2604,preview,EN,Agree,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-24 08:18:50,2022-06-24 08:18:55,Survey Preview,,100,4,True,2022-06-24 08:18:55,R_pEHm1XaYfgNfvQl,,,,,-25.7599,28.2604,preview,EN,I do not wish to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-24 08:19:05,2022-06-24 08:19:12,Survey Preview,,100,6,True,2022-06-24 08:19:12,R_CgiRxABMuCL5tzb,,,,,-25.7599,28.2604,preview,EN,Agree,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-24 08:20:26,2022-06-24 08:20:32,Survey Preview,,100,6,True,2022-06-24 08:20:32,R_3noOWjEVyWeUpYp,,,,,-25.7599,28.2604,preview,EN,Agree,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-24 09:51:44,2022-06-24 09:51:51,IP Address,196.249.4.215,100,7,True,2022-06-24 09:51:51,R_3jcWfpNKbNBm06w,,,,,-25.7599,28.2604,anonymous,EN,Agree,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62b16e9d6061f209a839f7bb
2022-06-24 09:51:59,2022-06-24 09:52:03,IP Address,196.249.4.215,100,4,True,2022-06-24 09:52:03,R_32KfUNV8nesnNOC,,,,,-25.7599,28.2604,anonymous,EN,I do not wish to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62b16e9d6061f209a839f7bb
2022-06-24 09:57:10,2022-06-24 10:00:32,IP Address,169.0.161.45,100,202,True,2022-06-24 10:00:32,R_2P1GhwUKG4WihU9,,,,,-29.9056,30.9405,anonymous,EN,Agree,Yes,5e722b4bcf526a0119aee64f,36,Female,South Africa,,Durban,Durban,Bachelor Degree,,No,Yes,Yes,,To protect myself and others.,Yes,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Often,No,No,,No,,More people who have been vaccinated,"News channels, eg. eNCA",,,,,,,,None,5e722b4bcf526a0119aee64f
2022-06-24 09:58:14,2022-06-24 10:03:15,IP Address,41.216.202.57,100,300,True,2022-06-24 10:03:16,R_10N34f3jzbnEkZO,,,,,-26.3811,27.8376,anonymous,EN,Agree,Yes,61712d83af60f4d0702f606f,21,Male,South Africa,,Kempton Park,Kempton Park,Bachelor Degree,,No,Yes,No,"Because it doesn't even work against covid, so why are we being told to take it regardless, if it even makes you less resistent againts the virus.",,,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither too much nor too little,No,No,,No,,More people who have not been vaccinated,"News channels, eg. eNCA",,YouTube,Facebook or other social media,,Scientific research papers,,,N/A.,61712d83af60f4d0702f606f
2022-06-24 09:57:37,2022-06-24 10:03:35,IP Address,102.217.178.26,100,358,True,2022-06-24 10:03:35,R_2Vl6WTEf1W0oPFw,,,,,-26.1,28.25,anonymous,EN,Agree,Yes,60f1a59dbe417a146cd40839,44,Female,South Africa,,tembisa,tembisa,Diploma,,No,Yes,No,"1. I don't trust the vaccine 
2. The body can do what the vaccine does by itself ",,,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Sometimes,No,No,,No,,More people who have not been vaccinated,,,,,,,Other,"I don't trust the news ",,60f1a59dbe417a146cd40839
2022-06-24 09:59:12,2022-06-24 10:03:53,IP Address,41.116.90.224,100,280,True,2022-06-24 10:03:53,R_yZRfZ2kVB0apLOh,,,,,-26.1833,28.3167,anonymous,EN,Agree,Yes,611d3a33f397b057ea46ee93,29,Male,South Africa,,"Witbank ","Bloemfontein ",Diploma,,No,Yes,No,I don't trust it with my body,,,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Sometimes,No,No,,No,,More people who have not been vaccinated,,,,Facebook or other social media,,,,,"No comment ",611d3a33f397b057ea46ee93
2022-06-24 09:57:56,2022-06-24 10:04:52,IP Address,105.8.6.101,100,415,True,2022-06-24 10:04:52,R_2PiiPHizvcIWQ6y,,,,,-26.3811,27.8376,anonymous,EN,Agree,Yes,6117edd55e9b6578faaff2e7,21,Male,South Africa,,"Pretoria ","Soshanguve ",Matric,,No,I don't remember,No,I have always been at work.,,,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Extremely often,"It depends on the situation, eg. if you are attending an event with a large number of people",Yes,,Yes,,More people who have not been vaccinated,,Newspapers,YouTube,Facebook or other social media,,,,,,6117edd55e9b6578faaff2e7
2022-06-24 10:02:31,2022-06-24 10:07:17,IP Address,102.141.149.84,100,286,True,2022-06-24 10:07:18,R_3P4uib7Ygz8whGQ,,,,,-25.7599,28.2604,anonymous,EN,Agree,Yes,61688c1020949a931ca5f0ca,38,Female,South Africa,,Pretoria,East London,Bachelor Degree,,No,Yes,Yes,,Because I was required to to test for covid everytime we have a function at work,No,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Often,No,No,,No,,More people who have not been vaccinated,,,,,,Scientific research papers,,,,61688c1020949a931ca5f0ca
2022-06-24 10:08:56,2022-06-24 10:12:53,IP Address,41.144.86.23,100,236,True,2022-06-24 10:12:53,R_vMOni4oHrB6a5vX,,,,,-26.3811,27.8376,anonymous,EN,Agree,Yes,615b7c534d2acf68035a2671,22,Male,South Africa,,soweto,Soweto,Matric,,No,Yes,No,I have reason to believe that it was a political movement to create profits for government officials.,,,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Often,No,No,,No,,More people who have not been vaccinated,"News channels, eg. eNCA",,,,,,,,,615b7c534d2acf68035a2671
2022-06-24 10:09:12,2022-06-24 10:12:58,IP Address,163.116.164.115,100,225,True,2022-06-24 10:12:58,R_1jBryKTDbOk8ult,,,,,-26.3811,27.8376,anonymous,EN,Agree,Yes,616fc78ee99355b4fb714bd5,39,Female,South Africa,,Cape Town,"Cape Town ",Diploma,,No,Yes,Yes,,"To prevent the severity of the symtoms from Covid, I did get it but it was not as severe at all. ",I am still deciding,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Extremely often,"It depends on the situation, eg. if you are attending an event with a large number of people",No,,No,,More people who have been vaccinated,"News channels, eg. eNCA",Newspapers,,Facebook or other social media,,Scientific research papers,,,,616fc78ee99355b4fb714bd5
2022-06-24 10:11:17,2022-06-24 10:15:34,IP Address,41.13.0.214,100,257,True,2022-06-24 10:15:34,R_27Ch0Qyjdj6ML6i,,,,,-26.3811,27.8376,anonymous,EN,Agree,Yes,5e58f7ebe74f460f89b26ca9,42,Female,South Africa,,Meyerton,Pretoria,Diploma,,No,Yes,No,"I have not gotten covid since the whole drama started. I just get seasonal flu and did not worry or at the moment worry about it. Also its against my religion and I do not think its safe. ",,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Sometimes,No,No,,No,,More people who have not been vaccinated,,,YouTube,,,,,,,5e58f7ebe74f460f89b26ca9
2022-06-24 10:11:31,2022-06-24 10:16:21,IP Address,41.150.242.252,100,289,True,2022-06-24 10:16:21,R_2QxFRHw76cAAdPi,,,,,-26.3811,27.8376,anonymous,EN,Agree,Yes,616fb6ddc63e70bec3035bf3,69,Female,South Africa,,Pretoria,Pretoria,Diploma,,No,Yes,Yes,,I was prompted by family members who did not want to associate with me without being vaccinated,I am still deciding,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Often,No,No,,No,,More people who have been vaccinated,,,,,,Scientific research papers,,,,616fb6ddc63e70bec3035bf3
2022-06-24 10:11:26,2022-06-24 10:16:33,IP Address,197.185.106.165,100,307,True,2022-06-24 10:16:33,R_3fjD4RhgXess2Ka,,,,,-26.3811,27.8376,anonymous,EN,Agree,Yes,611e03d5fbfb5578d7ac0208,30,Male,South Africa,,Durban,Durban,Bachelor Degree,,No,Yes,No,I felt the trials were controlled thus not displaying the effectiveness or lack of when the results came back to allow me to make an informed decision on the potential harm it would cause to my health.,,,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Neither too much nor too little,No,No,,No,,More people who have not been vaccinated,,Newspapers,,Facebook or other social media,,,,,,611e03d5fbfb5578d7ac0208
2022-06-24 10:12:01,2022-06-24 10:16:38,IP Address,41.113.233.12,100,276,True,2022-06-24 10:16:38,R_1GBt29SiyZ3O16T,,,,,-26.3811,27.8376,anonymous,EN,Agree,Yes,616305a9ff3125367410ad86,34,Female,South Africa,,Potchefstroom,Potchefstroom,Masters,,No,Yes,Yes,,To help boost my immune system and introduce antibodies to fight any Covid 19 infection,No,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Often,"It depends on the situation, eg. if you are attending an event with a large number of people",No,,No,,More people who have not been vaccinated,,,,,,Scientific research papers,,,,616305a9ff3125367410ad86
2022-06-24 10:05:23,2022-06-24 10:17:01,IP Address,102.141.170.5,100,697,True,2022-06-24 10:17:01,R_cOAO8986WQt6Hlv,,,,,-25.7599,28.2604,anonymous,EN,Agree,Yes,6143c415ccc0394e6f8fe6d6,22,Female,South Africa,,Pretoria,Giyani,Diploma,,No,No,No,I heard people talk about the bad effects of the vaccine it freaked me out hence I didn't take it.,,,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Often,"It depends on the situation, eg. if you are attending an event with a large number of people",Yes,,Yes,,More people who have been vaccinated,"News channels, eg. eNCA",,,,,,,,,6143c415ccc0394e6f8fe6d6
2022-06-24 10:12:15,2022-06-24 10:18:14,IP Address,165.255.49.94,100,358,True,2022-06-24 10:18:14,R_26gVZ5S7xtuVdNU,,,,,-33.0254,27.908,anonymous,EN,Agree,Yes,611e0cfa4d0f7f5b8e58af80,26,Female,South Africa,,EAST LONDON,NEWCASTLE,Bachelor Degree,,Yes,Yes,Yes,,I DID NOT WANT TO LOSE MY WORK,I am still deciding,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither too much nor too little,No,No,,No,,More people who have not been vaccinated,,Newspapers,,,,,,,,611e0cfa4d0f7f5b8e58af80
2022-06-24 10:14:37,2022-06-24 10:18:25,IP Address,105.19.48.51,100,227,True,2022-06-24 10:18:25,R_2YrhPBP9zzkpGuk,,,,,-34.0486,18.4811,anonymous,EN,Agree,Yes,612537b2bd6b4a38f4e7f63a,32,Male,South Africa,,Cape Town,Queenstown,Matric,,No,Yes,No,It was for personal reasons. I do not think the covid virus is something that needs a vaccine. It needs a flu-like treatment,,,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Sometimes,"It depends on the situation, eg. if you are attending an event with a large number of people",No,,No,,More people who have not been vaccinated,,,YouTube,Facebook or other social media,,Scientific research papers,,,,612537b2bd6b4a38f4e7f63a
2022-06-24 10:15:36,2022-06-24 10:18:42,IP Address,105.186.124.117,100,185,True,2022-06-24 10:18:43,R_5aqfzJ6cQqY3V4Z,,,,,-25.7599,28.2604,anonymous,EN,Agree,Yes,615eb909f728e8298663c6f4,20,Male,South Africa,,Pretoria,Pretoria,Matric,,No,Yes,Yes,,To protect my life from the possibility of contracting covid.,I am going to take the vaccine booster,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Often,"It depends on the situation, eg. if you are attending an event with a large number of people",Yes,,Yes,,More people who have been vaccinated,"News channels, eg. eNCA",,,,,,,,,615eb909f728e8298663c6f4
2022-06-24 10:16:47,2022-06-24 10:19:50,IP Address,154.117.144.194,100,182,True,2022-06-24 10:19:50,R_xbl0VVNoF2QG6XL,,,,,-26.3811,27.8376,anonymous,EN,Agree,Yes,616962d717541ecf23fbdf9c,30,Female,South Africa,,Johannesburg,molapo,Bachelor Degree,,No,I don't remember,No,natural immunity.,,,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Sometimes,No,No,,No,,More people who have been vaccinated,,,,,,,Other,none,I have none,616962d717541ecf23fbdf9c
